name,address,type,leisure_ype,photo_reference,rating,place_id,lat,lng
Water Rafting Dambulla,"The Crown Hotel, No. 08, Govipala Road, Kiralagolla, Dambulu Oya, Dambulla 21100, Sri Lanka","point_of_interest, establishment",advanture,AUacShhDxzj1HqQKG5RrzNeu1fODICYH1IXimeh0i89jILA50l9TpRbzix-FS04LNbfVs2KBfUiXZ6i7jEjcQWs1cunw4N7bek-51zr1ALTHy6225dsZoROOYEVYzJ_4uvOzbUAk4FZDozqllyOy5YSZoM1ze1KG6MFHlwZ5w_eWz7r2qnoV,0,ChIJPZ2-Eqqv_DoRYiLeDcTVjw4,,
Kitulgala Water Rafting with Serendib Adventures,"main sreet, Kitulgala 71720, Sri Lanka","park, point_of_interest, establishment",advanture,AUacShgj_KzVjxGTFDxKi0VrM1mhjLoM44ZAVbES_Ky8UhOAOQOu66PbmGM_KUABpecviXhX5CydHPi1NFqYSg4efZuDOAylyFoQYvciU88avvugwuThZE7LCAgtvUGsrxkFEP-wCIk92FYi2qZjxoz3SckGuCGEXDxbHszZaQONa44m7wcC,45,ChIJRWhJI38K4zoRIniwWGY0bzU,,
Dambulla - Rafting Point 01,"RM64+2Q, Dambulla, Sri Lanka","point_of_interest, establishment",advanture,AUacShjwz70-2FCpqLSP2hww8eyeRqeFptTMoENWWhHlnFqG2kknzjjXkYayobQBT5msh6fXsZ2fKp84ySaPgCYgLUiY-xSqOqf76OmpLzCLw95JcCCvqXHmWloQQxW6dnckRclrrk7D8JyqX-CD7x0gC8w8BtQAirv67Swm2ApaijaubNJE,1,ChIJlfuAPoiv_DoRoUfQZPMxc44,,
Sammani Saree Center,"282/3 Mitreepala Senanayaka Road, Bank town, 50000, Sri Lanka","clothing_store, point_of_interest, store, establishment",shop,AUacShimTCykW3akeiwhuisHdhFmi89Bog45QVdrM-8kBLd9-3SLvHK09AmCvPTCjt8wmxPV244OdiLeMWyafepRbZYr5oYftaHAGrMg64QPCuJyx_m5C437sl6HAA8gcRl2ExDsevaSJLx_GyUeCn70Ys3srDbbzHLi7i_sOJObnVrExCk,7,ChIJOQlcBAj1_DoRO8-WnFrK2H0,8.33539,80.41079
Thambhapanni Handloom,"18 Mile Post, Saliyawewa 61324, Sri Lanka","clothing_store, point_of_interest, store, establishment",shop,AUacShit_qqSStDVoQ1LYdqP9MFyW9FxB55TEkS76-w5V2uWc7xCV5eWwL35ExWP0B7xWle4t--KKBgdlSFbCh-fADoaESfT8eRK5qdZv-wfsIBu9fl_AVI3RaHPP77am7I1Ls3XPIvyPJbgKJzZhmSebYPJGtfeDnNcS1d7TDt_qMIPFh6s,1,ChIJQ0X3t30d_ToRWNuUhcaGk7U,8.14901,80.05719
Handloom Saree Center,"66 2nd Cross St, Hingurakgoda, Sri Lanka","shopping_mall, point_of_interest, establishment",shop,AUacShj6Zo9hxARcMoSlSVBCYromv2a71SptJ4PUdXRsPj_FUQBr9qOlUYfz3tx8UV0-8dzKddLg9TSZYiPALMkTntrOrkBEwfcX6toylt01HftNrkeOmZ4cl0gvbYtTa298witnmUl_7o8twdEYXcUy8ZBnjqMO40y5OaQ9uu10N7bmFcpP,1,ChIJhw6yXr1n-zoR1lYiGTWbWWE,8.04041,80.95238
LAQNI HANDLOOMS,"340 A9, Kandy 20000, Sri Lanka","shopping_mall, point_of_interest, establishment",shop,AUacShikvehTU4Gb0hDggWMildMK8FaT8rrLDgLiZqA38MDs5DZcW7K61JEcI-ibqd6do-kF42jdR6DTL3YMCIDLb0nA6g9YbYvMyAQwJfMmfszVpd-eZCBXharA-vVRjDBoxvX-09FcmmOPo9otVkrvPRIKrCNx1JmBzYp_lODzA1bgLouz,1,ChIJG-tVK-Bn4zoR3LjCDTBwBuk,7.30241,80.6359
HB Gallery Handloom Shop and Batik Shop,"5/1, No: 542, Kandy Rd, Kadawatha 11850, Sri Lanka","clothing_store, shoe_store, home_goods_store, point_of_interest, store, establishment",shop,AUacShh4_mSopaRo5nr3t9SzW9hi0qXX9YaD3bMT0sa9-kYi09eH1j2S1Md2eMLRkQo0bnkhSWsoO9i7fjlOPIC7jLloexexSL5dUYNnc3vSlNkOho34qMZjW4me69ycepc2cF0QuVIjv6LQJo95b4ic1o1oxVSxW0SBuJoVAu4ekFZFJfZi,49,ChIJEcEmA0b54joRgf2JzUXwtlY,6.98671,79.93599
Handloom Gallery Kotte,"No.825, Sri Jayawardenepura Kotte, Sri Lanka","clothing_store, point_of_interest, store, establishment",shop,AUacShiLYp3tWyRFN1mmr90GvoHwtwWBwFIdZT589KD-rF8RJ5KNKfvFytNnsuaVCGIUJ8iJzV9fs9SmiO9yVhFq1qqWvFXzbRf3eJhMOX-_7d_bQIx3qCWZKHO706gMBUuQACgm6mtwKhcnT5Ds4pzq8VRg8KPVGA9NmSzby-hVl9XGEcuZ,197,ChIJ4SMf0fdZ4joRmElkXbHlC38,6.89898,79.90583
Aathiththi Handloom Centre,"Batticaloa Market, Batticaloa, Sri Lanka","clothing_store, point_of_interest, store, establishment",shop,AUacShhU3wNT62Y_e_k_n0IMKZPcKYo7xazcj8TW7H5v_Xh1RzmIOZ8uEm3KbXOc_esloGB8e7p_0-x2H0TLrMhgwTh8ToMNwccCtCt9rNHoW5BCDX1q2c-pvxzlzYBCjctPguxOiMt-_gzC3FDUPDPkVtWf9AslSdRhfwJRZSDGN0uw7xWY,2,ChIJU2gUDdzN-joRTSGYvRoAhqQ,7.71575,81.69952
AB'89-Kandy||Handloom||Clothing Store,"103 A26, Kandy 20000, Sri Lanka","clothing_store, shopping_mall, point_of_interest, store, establishment",shop,AUacShgT6uRH3nXPD1kJX683Wh-0p1ln46fnhVmZIOxP6HMV2ELSh1-xCqBDOWSrZsV395hQfLHHp5sCU1LytjH0Jo4KeffA1yCc7SXhMAFuqrL6xM0ZBh0YA-q7oA3ffYaZWOFQvYQ7VEy98dc22rN5gUdFYo2oAJb2RUT_t7Jp_pjDeXE,25,ChIJCZ-XWDFm4zoR0k69mUqNdJM,7.29229,80.64839
