Date,Day of the Week,Time of the Day,Location,Reason
3/1/2023,Wednesday,Morning,Home,Normal routine
3/1/2023,Wednesday,Morning,Home ,Daily Chores
3/1/2023,Wednesday,Morning,Backyard,Personal Habit
3/1/2023,Wednesday,Morning,Garden,Daily Morning Visit
3/1/2023,Wednesday,Morning,Home,Breakfast
3/1/2023,Wednesday,Morning,Home,Medicine
3/1/2023,Wednesday,Morning,Home,Visit from Elder Daughter
3/1/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Clinic
3/1/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Tests
3/1/2023,Wednesday,Morning,Matara Public Bus Stand,Waiting for a bus
3/1/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
3/1/2023,Wednesday,Afternoon,Bank of Ceylon - Matara,Cash Withdrawal
3/1/2023,Wednesday,Afternoon,Home,Daily Chores
3/1/2023,Wednesday,Afternoon,Home,Normal routine
3/1/2023,Wednesday,Afternoon,Home,Lunch
3/1/2023,Wednesday,Afternoon,Home,Medicine
3/1/2023,Wednesday,Afternoon,Home,Daily Chores
3/1/2023,Wednesday,Afternoon,Home,Visit from A Neighbour
3/1/2023,Wednesday,Afternoon,Vegetables Shop,Buy Vegetables
3/1/2023,Wednesday,Afternoon,Rahula College - Matara,Pickup Grandson
3/1/2023,Wednesday,Evening,Rahula College - Matara,Pickup Grandson
3/1/2023,Wednesday,Evening,Public Bus Stop,Waiting for a bus
3/1/2023,Wednesday,Evening,Garden,Inspection
3/1/2023,Wednesday,Evening,Garden,Fertilizing
3/1/2023,Wednesday,Evening,Home,Sleep
3/1/2023,Wednesday,Evening,Backyard,Personal Habit
3/1/2023,Wednesday,Evening,Home,Daily Chores
3/1/2023,Wednesday,Evening,Home,Normal routine
3/1/2023,Wednesday,Evening,Paddy Fields,Walking
3/1/2023,Wednesday,Evening,Garden,Daily Evening Visit
3/1/2023,Wednesday,Night,Home,Normal routine
3/1/2023,Wednesday,Night,,
3/1/2023,Wednesday,Night,,
3/1/2023,Wednesday,Night,Nearby Restaurant,Buy Food
3/1/2023,Wednesday,Night,Home,Dinner
3/1/2023,Wednesday,Night,Home,Medicine
3/1/2023,Wednesday,Night,Home,Daily Chores
3/1/2023,Wednesday,Night,Home,Sleep
3/2/2023,Thursday,Morning,Home,Normal routine
3/2/2023,Thursday,Morning,Home ,Daily Chores
3/2/2023,Thursday,Morning,Backyard,Personal Habit
3/2/2023,Thursday,Morning,Garden,Daily Morning Visit
3/2/2023,Thursday,Morning,Home,Breakfast
3/2/2023,Thursday,Morning,Home,Medicine
3/2/2023,Thursday,Morning,Fish Shop,Buy Fish to Cook
3/2/2023,Thursday,Morning,Meat Shop,Buy Meat to Cook
3/2/2023,Thursday,Afternoon,Fish Shop,Buy Fish to Cook
3/2/2023,Thursday,Afternoon,Meat Shop,Buy Meat to Cook
3/2/2023,Thursday,Afternoon,Home,Daily Chores
3/2/2023,Thursday,Afternoon,Home,Normal routine
3/2/2023,Thursday,Afternoon,Home,Lunch
3/2/2023,Thursday,Afternoon,Home,Medicine
3/2/2023,Thursday,Afternoon,Home,Daily Chores
3/2/2023,Thursday,Evening,Paddy Fields,Walking
3/2/2023,Thursday,Evening,Garden,Inspection
3/2/2023,Thursday,Evening,Garden,Fertilizing
3/2/2023,Thursday,Evening,Home,Sleep
3/2/2023,Thursday,Evening,Backyard,Personal Habit
3/2/2023,Thursday,Evening,Home,Daily Chores
3/2/2023,Thursday,Evening,Home,Normal routine
3/2/2023,Thursday,Evening,Home,Normal routine
3/2/2023,Thursday,Evening,Garden,Daily Evening Visit
3/2/2023,Thursday,Night,,
3/2/2023,Thursday,Night,,
3/2/2023,Thursday,Night,,
3/2/2023,Thursday,Night,Home,Dinner
3/2/2023,Thursday,Night,Home,Medicine
3/2/2023,Thursday,Night,Home,Daily Chores
3/2/2023,Thursday,Night,Home,Sleep
3/3/2023,Friday,Morning,Home,Normal routine
3/3/2023,Friday,Morning,Home ,Daily Chores
3/3/2023,Friday,Morning,Backyard,Personal Habit
3/3/2023,Friday,Morning,Garden,Daily Morning Visit
3/3/2023,Friday,Morning,Home,Breakfast
3/3/2023,Friday,Morning,Home,Medicine
3/3/2023,Friday,Morning,Saloon,Cut hair
3/3/2023,Friday,Morning,Neighbour 1 House,Friendly Visit
3/3/2023,Friday,Afternoon,Neighbour 1 House,Friendly Visit
3/3/2023,Friday,Afternoon,,
3/3/2023,Friday,Afternoon,Home,Daily Chores
3/3/2023,Friday,Afternoon,Home,Normal routine
3/3/2023,Friday,Afternoon,Home,Lunch
3/3/2023,Friday,Afternoon,Home,Medicine
3/3/2023,Friday,Afternoon,Home,Daily Chores
3/3/2023,Friday,Afternoon,Rahula College - Matara,Pickup Grandson
3/3/2023,Friday,Afternoon,Public Bus Stop,Waiting for a bus
3/3/2023,Friday,Afternoon,,
3/3/2023,Friday,Evening,Public Bus Stop,Waiting for a bus
3/3/2023,Friday,Evening,Grandson's Private Tuition Class 1,Pickup Grandson
3/3/2023,Friday,Evening,Home,Sleep
3/3/2023,Friday,Evening,Backyard,Personal Habit
3/3/2023,Friday,Evening,Home,Daily Chores
3/3/2023,Friday,Evening,Home,Normal routine
3/3/2023,Friday,Evening,Paddy Fields,Walking
