name,address,type,leisure_ype,photo_reference,rating,place_id
Wilpattu Sachintha Safari,"No 39 dunupothagama, Nochchiyagama, Sri Lanka","park, point_of_interest, establishment",look,,0,ChIJlWAeAiT7_DoRsL03XZRSBHk
Wilpattu Safari Tours,"49A, Gamunu Mawatha, Pulleyar Juntion, Anuradhapura 50000, Sri Lanka","lodging, point_of_interest, establishment",look,AUacShiP03XyUzoZml8BE47NRxiEKxWQQGuYzLfZvY7cBdxb8stnINYeTWLUOy854tH5d7iUsfHKzsSh3_8OeuHpdkWf1d0I0eIEBnm8U6VnCilB-T8pzElZ_m-yAND1VoDqy003ZZI3Pziw9jylV-KpSSbBR6NT17-d77jSWB4Zuu0Sa8RR,2,ChIJNcanQ3T1_DoRp-kW3U7YCNI
Wilpattu Safari Camp,"C/O Wimal Stores, Hunuwilagamuwa, Wilpattu Road, Horuwila 20850, Sri Lanka","campground, park, lodging, point_of_interest, establishment",look,AUacShhkWo1zrK95fdqxlJLKPAMpD9g6yaS_fS_nbGmVLSKXZIPEpMe8CenHWDXnfAtq3zPgV2OAThzEL4dDYxvHa-gVdEsItzjdfWLLATsJel_FJclVGRzyEm6aLHdaYrpvWYAtDYFuR6EGN10TA4N8_0D0KINJm54SuS8zvtNKtU75r05m,53,ChIJ402OQvb-_DoRYXLLbpfnGl4
Wilpattu Safari Holidays,"No.199, Wilpattu Road, Horuwila, Sri Lanka","campground, park, lodging, point_of_interest, establishment",look,AUacShiii5vd0WCD9k2WpbEIlnnHFFOwEWLGHQUHVIARaM6Q3Wwz1DPb-yopXO_OGDOQ976Gpw-NoxUOhnoPegm-Zr6o2JgkVxXTQ_WFH-JUceQlFqD9eOLW1e-Lfgkxhy14AaWDxaUDShPeE16HTWw6S0_1P5SxHdr_maA9mYW_tfRGxrWN,10,ChIJCwlQmYf-_DoRqEbU7-JckBo
Wilpattu Asinka Safari,"Wilpattu National Park Hunuwilangamuwa Entrence, 50220, Sri Lanka","park, point_of_interest, establishment",look,AUacShggAW2vohwC37pYZz0qHwdJwp3gN5jMiWuDEVHQEg2v4agGq-tp0VRMd5oGwTvSQvDPrvBdFsyMavFxzXSZCxHQYeVMsz4aeTCbHNa9R24Wat_m3_7hFv1pogMuvWdODFedmALYWh5bY7OLeHr-yqyzqWqtxG8RYm9d66dsKG_TgTgi,0,ChIJ32jh3iz__DoRb-gV1PvyP3Y
Lankan wild life jeep safari habarana,"Trincomalee road, Habarana 50150, Sri Lanka","park, travel_agency, car_dealer, store, point_of_interest, establishment",look,AUacShho2xs1gQKaPCN2SW1kPt0yXfcnswH3nhGUA3UPgbKfRyLqULh-DXIKUKWnqdZyZt4Stswzx759Q9UTsZpxDrTLN3_kkAIzKTL5nHZMk4LCceDzkch8L3BxLkbK5TSauqBFDjdoulMwEc8C7ndb3oFmyGXVqzYfXiq5fx8iLYW0VsD7,38,ChIJ76i7YJef_DoRU7k4aLkj9rg
No.01 Special Safari Habarana,"Kurunegala - Dambulla Rd, Habarana 50150, Sri Lanka","park, point_of_interest, establishment",look,AUacShhFnx5mNFmadny83PGCEifliEPObLrW4PoqGlOECOn0GQMq8F7hJPvacjFapwcHr3AIDwkLFQEDCbm-7yujxrORq6lMZQYViDlJAzDHrteKIntZP29CuYJV8m-3h8pO8RZrdGfpSdzKNPalxhX3_g2r_gD8Eemsos1RGycTNIDj83g7,3,ChIJmVjhGPyf_DoRMyyokmnJDuI
Best Safari-Habarana,"Habarana 50150, Sri Lanka","zoo, park, point_of_interest, establishment",look,AUacShgOLba_73G_xRPNgfY0lz_GEjlDT6lHXaGxadfJOByXh7LC71zxi8LL3izZLJ2h-B-bbaX7bqF0rKNXmC1Cl-qj-Z3Pzxyre_j3XEGDDjCoY-ru5EwJH5YWeWVm1AU9YMK9Bj6GTf0CXMyt7INgcIhQJ38m2ujsvyKb_POeOCjY_vml,17,ChIJOSdHhRaf_DoRnRds3s8ZO60
Sarath Safari Sigiriya,"185, Kayamwala, Sigiriya, Sri Lanka","tourist_attraction, point_of_interest, establishment",look,AUacShhr2T5YQuo6n54CuIvQChDisGpFzmZOp4fVwsX-40yPAh8nTFOazCHowFSld2ssKkgTDKuQrDXmExG3TbWtHOzr3gKIO6sphyo5JwLSogzPqHjLHFDS6XhiqCpskXxvK8-3r9gIY563NsH4mQ7zJ0goydOkRprx6-qN8TPjZDXuv2I0,26,ChIJA4kISDGh_DoR29Cr1tTPnTs
Habarana Safari,"05 Habarana Road, Palugaswewa 50144, Sri Lanka","point_of_interest, establishment",look,,1,ChIJ6UC7PuKZ_DoRSFfb5sM_xMA
