name,address,type,leisure_ype,photo_reference,rating,place_id
Sudath Handicraft,"Jana Jaya City Mall Rajagiriya ( JJC MALL, Jinadasa Niyathapala Mawatha, Sri Jayawardenepura Kotte 10107, Sri Lanka","store, point_of_interest, establishment",shop,AUacShgk5KL7lRY6Z910q3hOpkSWiYDrMe-Naix7Vlv1qWcDB5lMpldGnNeY9dA67-RWmWqsP-vgJJJrKFBBBxZ5T3pQn6KVpUt8Edhd8qiZ0nqEHCwgfYe24olbY57k6WkCDyQ1enOx8RQgEljGQRHCRqiu9c4aTY6IS35vTMBkfLjCIjz-,6,ChIJDxoqfYhZ4joRGPfnrdWWasw
Handloom Gallery Kotte,"No.825, Sri Jayawardenepura Kotte, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShhTfhA5LkktbW6bRWFxzNd-4hwWvHoYx3TETeB0DU58ytxPp-H-3Gjqb3hNDT0q8aRuL5IYidBvvdf9m4VQnIJIOLokH_N9su9BkDue6sq9prAtNyIq1ml_06FgSkAOq9tfjXxhkQxaAQVCrbx7DwVG50gZ9lFiy1dnMka-7auzh49U,197,ChIJ4SMf0fdZ4joRmElkXbHlC38
HB Gallery Handloom Shop and Batik Shop,"5/1, No: 542, Kandy Rd, Kadawatha 11850, Sri Lanka","clothing_store, shoe_store, home_goods_store, store, point_of_interest, establishment",shop,AUacShgoJtykzS0jzRXBm0yCUWDtqrVyIWrBYO9ft4VfSMiDG4YmY8dWlRXu-6tu2TtmajvJPd8PropQzQiLn9qVS_PrHfGD1h92EoFCqnxch7AHM3513VuqVCDE6X7f2xfunw7I3OL6yPvXRpOayf4zAIJS2NAy_NrO5H0Aj4-MVodXCra_,49,ChIJEcEmA0b54joRgf2JzUXwtlY
AF Handlooms,"28, Horana Road, Pinhena, Kottawa 10320, Sri Lanka","shopping_mall, point_of_interest, establishment",shop,AUacShhHPblrI_SzlJUb3un4AVASGlO4qGo3T_YU4pVEODplHi5MR1ii1bDZyfOfLgqxrXU2IfSTzhSsSapdEyuSwpTTMLmUjQj7kbgEwaQ-L2iFSfUKZ2BBxouQjtdqXy8GJnmyVyJ8C7CBfTfxMzXhJQXs_IfSqe_Mg-D4rvJs2Y_b7uc_,17,ChIJo864u8xR4joR5dQ-E73_0ew
Kreation House Of Cotton (Borella),"Borella 213, Castle St, Colombo 00800, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShis5t3zxAERqYldDwlHol_0gdda1v_Kjhw-03gwhIap7agEL53SFALwNW9gtX_E2ZX_EG3YQDSNhU7W8KE3BMjaNbma-75ZJWCrScZjFjNCFf9G-v65JMwmLEMHFFq0myvrWYPQj9FSCXHgAIqyjTqsiqpTSWWi3jSqzKlrCcX_usYY,270,ChIJ6b52a5BZ4joRcgA8-aDMbP4
Kandygs Handlooms,"333 Galle Rd, Colombo, Sri Lanka","furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",shop,AUacShhB6wUPOfgvollKgJ-2KrsxDTKQgqaQKrz1hsEaYgj5lByJ2gQ637cDV4OqfAWB3UbIb2Tp4kgi3Ge8qgsFBhL45ikiWrC0cu0AQDsQFu9Up7v9qpr3GSvkxRgGgtr8A2lmrdZV58f-2bw8O2QrazxWbhnoUAJ_MaG6aHhPdJzq1-g,23,ChIJNf8kg11Z4joRrhtyyvALUD8
Craft Lanka,"WW2G+MX5, Denzil Kobbekaduwa Mawatha, Battaramulla, Sri Lanka","store, point_of_interest, establishment",shop,no photo,7,ChIJPYlUHFNX4joRczwoJ8b_imw
"Handloom Gallery, Battaramulla","57/4 Main St, Battaramulla 10120, Sri Lanka","point_of_interest, establishment",shop,AUacShgvd_sVAjRHVKtPKRsOTCbMI4u8uLXHDl72iKyBTONmOfXI5BO-VXRmmnCXhJkwpGNMSvNso_leuw95NNivuJhHJ6CykCEv3daffPo0STXXra2awl0jQsWw4IV5vQaUZMG1N9qpmqKms7z8aRHd5END29WAhDKAuWMAqUbsUFwo6Zpj,81,ChIJB0EY1v5Z4joRfu-VdpHT3Bg
Kreation House Of Cotton (Mount),"191 A Galle Rd, Dehiwala-Mount Lavinia, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShhY9QU92hl0ML7B4Adl9IuIm6uqc9kV8fWem-9q9CchREMg9iZsPBYlwP-EYQR-JdJV4CSrK42PgdjBjmhBBP9WmkqeHQse32q7Tq9S_lhTgzCdjmf-maArWTypnT3lboxNuh587R3u9lgB3oSgSGA2zFhsU34vYntBoafcV8vSatOz,144,ChIJB6xTBcRb4joROGYhQZHTgKo
Barefoot,"704 Colombo - Galle Main Rd, Colombo 00300, Sri Lanka","tourist_attraction, store, point_of_interest, establishment",shop,AUacShjynNof8Ve6miDqSQbWgbXOWXJqdBPFypcXhBkM2NiOnaSjfP5b5SVS-Ep_8yCiEMrlwjCzw05LB3BdAVFLUgibAk-OsTH4N3cT9S31dFRswYqmFBWmXMyI0rIfWFgdH8bF340EkFZ2Z6BZHyIVOVJxtq4XMIZvzodzXfh_onx7NYCZ,2291,ChIJW5oEpd9b4joR0Ffs0ikstfI
Handloom Town colombo,"65/3a Huludagoda Rd, Dehiwala-Mount Lavinia, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShjStBTUxlMwHXdN8VYlTuA8unXKh9z238FxqHVrZr_UuF6SbshvU8Y-4vXPabfZqzI6emTdvE85jRVk3bqpIXRLJ-eWdH3qo8LHJS_q1YRAe8fOYmRdn-yqf1G5pNDYMRlDV6MXXxlWh_5GSRW575vRC6Vor5SMD-pABEkiO2olmIML,7,ChIJrQpFhHFb4joRJ6Zk8Wn9sks
Lakpahana,"14 Philip Gunewardena Mawatha, Colombo 00700, Sri Lanka","store, point_of_interest, establishment",shop,AUacShhksUl5oQLB4LZq-tDqUR9pC0osQY--NWpcONrpyy3IwhBOc-GBE_xN95ZMrrGaXLx8k62Io0mG7-ozvR6P3MvCbGMhbp-y_uS4_cKdpCKjoeEkBoAdYDeEMz--J1kdN6rXMvBInN4RfTraBn_QnxpxkKEC40x0O75pCM0jdkO3wofb,370,ChIJz10-gGJZ4joRoRhhGR8EYxw
S &S Handloom Sarees,"Sri Siddhartha Passage, Colombo 00500, Sri Lanka","clothing_store, store, point_of_interest, establishment",shop,AUacShj67SiXwPR8OZDT3WGAKQk_Gp7ixckhp-OZXV7zOZWP7ixz6gvpgilQR0iXx3_kwc0teBZSctbnuG_UFTUk0_31xzmj3qnVsrQd0RTj6A3_AtlZLr0mjcKHG57sVQdJxwUnmWxIcmE4nXTBNE9AwxvAa4YRbsNrw300Fb27fQQdpzY3,2,ChIJoaZWFjlb4joRebf9cMns-ik
"Craft Lanka Production and Training Center of Handloom Textile,","XWQM+JG4, Kadawatha, Sri Lanka","store, point_of_interest, establishment",shop,no photo,6,ChIJYxdzIwn44joRO0bAVJPpuds
