name,address,type,leisure_ype,photo_reference,rating,place_id
Cinnamon Nature Trails,"WRHX+PVP, Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShhSwhDTCqDo3MkDhObmy-hk-HrLOX0qEdM_WH-jIsrih0m4rQ8PCsfYCe6ODtcU1hJQ_ZUeGAns4i6BSXVlwcCr5XdIywgCxBAPWdfHruA0sGc2FWYIQR-WDW95xGiJtgtOgb3zNSq-BdZW1kR29TlP7q_hFmyHHV3aYhYuR6hvWRQ3,9,ChIJJ-X2JT1Z4joRqbdv2ntCisE
Colombo City Walks,"Echelon Square, Old Dutch Hospital Complex, Hospital St, Colombo 00100, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShgeet5nSZenZbtm3k4PbqSRKvMuQjUozZfx_a0dKSO6QlWRdM293MwKTKq66qax2DmbvdPRKLvVJcvoMulNm0DpNXFjxquF9alVqqzL7UdHl-VuW989KUlzyp6OqpiLnkVAnKURJyRj-hdlavtQ1qHhw3XwwazNLiJnxxbo3J2afhoK,23,ChIJ-SwBZ3JZ4joR9dr6T7OhFwg
Diyatha Uyana,"WW35+RWG, B240, Sri Jayawardenepura Kotte, Sri Lanka","tourist_attraction, amusement_park, park, point_of_interest, establishment",visit,AUacShiTDSxeVOPZ_yfYuU8sgHw3ElB6fwOhlmXMG-R_pEPUMYGjAR8-ft4mVHpE6k8yiCfNGOABa1Oc913PnDI6w-kYNIQxGn0HVVOYQI8ibIgrb5SBE_auxr33fIzN6Hy9GhYfGYxO6FUInUS7mRtOs5-_kqlYGS6qcNx9xvcaPjM_CvLk,24913,ChIJ7RLZi_lZ4joRG_yTVVSrydw
Dream Destinations DMC,"No. 11 Sirimavo Bandaranaike Mawatha, Colombo 01300, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjAqgiBgBE8QMGTWzlRBHLed_-OV7dd-hVZ_GlTKuAqV42ccPq1tBwh6zNxJcjMEHNxY4VRgYsJwvYL1qRdttO-iV3Mjss6OU41hS43aB5KHxD4Vmk-VH7NGzsu3j0DkUfzO4VpRODDxOzwjYZeIhkrOfQqobiHnmXFNODqvVAXXuNy,2,ChIJfYlxXPxY4joRj-QfzZY2cHo
Gangaramaya Temple,"61 Sri Jinarathana Rd, Colombo 00200, Sri Lanka","tourist_attraction, place_of_worship, point_of_interest, establishment",visit,AUacShg8su5lMtxQJe4uudeTgzJofMB1Bv5D7JG6K3pmZ99Nn5JfJmNE-0lqc6k6rKIRCLpCcCuLGSZKNiO4zDOTs6fJBefabHdFRrkThIVVlpncSzPzUPDezLO2Uo4j7CPgmp60kASDI8RozGlzm-7hrTlZL2k9SfzFIsP8qOu3drnhLkA3,9255,ChIJQ9yCmWtZ4joRNu1evW41NTo
තොටලඟ තොරණ,"Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShgJeY7MgKgXSNJ8wO8Wa5giurt11J6oSQpEqixsIFD9ieCdN0UA43mvwcIjrXHbZBD0b98UZFohwwQzO39eSAJfjxrUBnsU1grLMoMVbOidDqUxP8UwWVO-JjUVSU9N8OpUgDDKtgzTtKeiev1qz0lP_rlXku11bcNKJfpBpaqudiIB,4,ChIJ54_VqnBZ4joR7bQAhILSyKg
Port City View Point,"WRHQ+347, Port City Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShiqmMzyan3Y_8gSudmbGQhJyooUj9SGOy5PWYNozgwe_J-3peO2FR_4t_1HQwk4mK8rD-P1yknH4d_gJs_5rc0sP5VnJafREASjvyJfZI2DE1fPZFAi5ylq10CPzDBqBPF1TVHXOhBUV2SXBLJ7QWsnsH4ODzzyzqfNLdkHsbbWvXKf,2,ChIJo7RD4mpZ4joR2JQ1Zwyzlws
Colombo Lighthouse,"WRPR+G84, Chaithya Rd, Colombo 00100, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjmc-7_QNGPNeNxeROlJlp5cq3JPMKZQoqNGR1ybwOTHRT77Rj7bDxd0_mUdz6ExV2wPCjCn_eyZzrLjsC0u-OmBJB7FHF5X0bTYTaMqqln8pvBNIV08tB9IS5sTjIioWvY-1ywmNDxcEaVgQbiAc23RcNx-yzfCqaJeWuISrqeMD0i,579,ChIJfwlVoChZ4joRUTiFogQJMtI
Cruise Pier Colombo,"WRRV+JVH, Unnamed Road, Colombo, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShg2bWhoRukM6rxHONLMDo7m7FQnxwt511_0-RqbARo8JnKbJ22kx33W3CfAoqvgozz9o5gQ3SU10T_NwlMYnNyy2HZhz_kFvfkKfxmmgOLJjXGdtTkmtGNg70D-esy_W_Z5IZAIS6F_LMXiYaxifxkrmQ6q_pZglA95BlteUjlHoKaC,4,ChIJQ3y2stVZ4joRSNzMigrkQz8
Queen Viharamahadevi Statue,"WV77+J84, Colombo 00700, Sri Lanka","tourist_attraction, point_of_interest, establishment",visit,AUacShjRFdm1zgSFA2U2Hk2V2M9wtOK8YEMQuOg5FLc8Mm-RABlfR6byKxRA9_CDVVHMzKgb6A89uIJ-eFauapH-mCmbKFOLlLAl_ZYI9jNb0R1MaF_2fgpj2lTEX4UCp5jOCe1Ifsgyb1CoMGZqNbM3jxlUAIQPst56E8MpWGcz61sNJI3X,20,ChIJEZXx_XFZ4joRIUa1C6LZhts
